ticker,nome_pregao,cod_cvm,segmento
EQPA6,EQTL PARA,018309,Energia Elétrica
EQPA7,EQTL PARA,018309,Energia Elétrica
EQTL3,EQUATORIAL,020010,Energia Elétrica
EFXB31,EQUIFAXBRL,059390,Serviços Financeiros Diversos
ETER3,ETERNIT,005762,Produtos para Construção
EUCA3,EUCATEX,005770,Madeira
EUCA4,EUCATEX,005770,Madeira
EVEB31,EVE BRASIL,059422,Não Classificados
EVEN3,EVEN,020524,Incorporações
EVTC31,EVERTEC INC,059391,Serviços Financeiros Diversos
BAUH3,EXCELSIOR,001570,Carnes e Derivados
BAUH4,EXCELSIOR,001570,Carnes e Derivados
EXPB31,EXPERIAN PLC,059420,Programas e Serviços
EZTC3,EZTEC,020770,Incorporações
VSPT3,FER C ATLANT,015369,Transporte Ferroviário
VSPT4,FER C ATLANT,015369,Transporte Ferroviário
FHER3,FER HERINGER,020621,Fertilizantes e Defensivos
FIEI3,FICA,020630,Incorporações
FICT3,FICTORALIMEN,015423,Carnes e Derivados
BFTS39,FT CAPSTRENG,079740,Não Classificados
BKYY39,FT CLOUD CPT,079782,Não Classificados
BFDN39,FT DJ INTERN,079804,Não Classificados
BFEM39,FT EMERMARKT,050060,Não Classificados
BFTG39,FT GROW STRE,050061,Não Classificados
BFXH39,FT HCAREALPH,079820,Não Classificados
BFPI39,FT INTL EQOP,079693,Não Classificados
BFTC39,FT LCAPGROW,079731,Não Classificados
BFDL39,FTMOR DV LEA,079707,Não Classificados
BROB39,FT NSDQ ROBT,050046,Não Classificados
BQCL39,FT NSQ GREEN,050203,Não Classificados
BGRI39,FT NSDQ GRID,050042,Não Classificados
BCIR39,FT NASDCYBER,079715,Não Classificados
BQQW39,FT NASD100EQ,079758,Não Classificados
BQTC39,FT NASD100TC,079766,Não Classificados
BFCG39,FT NAT GAS,079723,Não Classificados
BFBI39,FT NYSE BIOT,079790,Não Classificados
BAIR39,FT RBA AIRR,050043,Não Classificados
BFDA39,FT RISIDIVID,079774,Não Classificados
BSDY39,FT SMID CAP,050039,Não Classificados
BFTA39,FT TECH ALPH,079839,Não Classificados
BFPX39,FT EQ OPPORT,079685,Não Classificados
BFVD39,FT VLINE DIV,079812,Não Classificados
BFIW39,FT WATER,050047,Não Classificados
FLRY3,FLEURY,021881,Serv.Méd.Hospit..Análises e Diagnósticos
FRAS3,FRAS-LE,006211,Material Rodoviário
G2DI33,G2D INVEST,080195,Gestão de Recursos e Investimentos
GFSA3,GAFISA,016101,Incorporações
GFSA12,GAFISA,016101,Incorporações
GFSA15,GAFISA,016101,Incorporações
OPGM3,GAMA PART,017965,Outros
GSHP3,GENERALSHOPP,021008,Exploração de Imóveis
GGBR3,GERDAU,003980,Siderurgia
GGBR4,GERDAU,003980,Siderurgia
TBIL39,GX T BILL,050038,Não Classificados
