ticker,nome_pregao,cod_cvm,segmento,cnpj,nome_cvm,setor,sit,nome,tipo
CXSE3,CAIXA SEGURI,023795,Seguradoras,22.543.331/0001-00,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Adm. Part. - Seguradoras e Corretoras,ATIVO,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,acao
CAMB3,CAMBUCI,002100,Calçados,61.088.894/0001-08,CAMBUCI SA,Têxtil e Vestuário,ATIVO,CAMBUCI SA,acao
CAML3,CAMIL,024228,Alimentos Diversos,64.904.295/0001-03,CAMIL ALIMENTOS S/A,Alimentos,ATIVO,CAMIL ALIMENTOS S/A,acao
CEAB3,CEA MODAS,024848,Tecidos. Vestuário e Calçados,45.242.914/0001-05,C&A MODAS S.A.,Têxtil e Vestuário,ATIVO,C&A MODAS S.A.,acao
MAPT3,CEMEPE,013854,Outros,93.828.986/0001-73,CEMEPE INVESTIMENTOS SA,Adm. Part. - Sem Setor Principal,ATIVO,CEMEPE INVESTIMENTOS SA,acao
MAPT4,CEMEPE,013854,Outros,93.828.986/0001-73,CEMEPE INVESTIMENTOS SA,Adm. Part. - Sem Setor Principal,ATIVO,CEMEPE INVESTIMENTOS SA,acao
CLSC3,CELESC,002461,Energia Elétrica,83.878.892/0001-55,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,Energia Elétrica,ATIVO,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,acao
CLSC4,CELESC,002461,Energia Elétrica,83.878.892/0001-55,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,Energia Elétrica,ATIVO,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,acao
PCAR3,P.ACUCAR-CBD,014826,Alimentos,47.508.411/0001-56,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,Comércio (Atacado e Varejo),ATIVO,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,acao
CASN3,CASAN,016861,Água e Saneamento,82.508.433/0001-17,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,Água e Gás,ATIVO,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,acao
CASN4,CASAN,016861,Água e Saneamento,82.508.433/0001-17,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,Água e Gás,ATIVO,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,acao
GPAR3,CELGPAR,021393,Energia Elétrica,08.560.444/0001-93,COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR,Adm. Part. - Energia Elétrica,ATIVO,COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR,acao
CEGR3,CEG,016616,Gás,33.938.119/0001-69,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,Água e Gás,ATIVO,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,acao
CEEB3,COELBA,014524,Energia Elétrica,15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,Energia Elétrica,ATIVO,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,acao
CEEB5,COELBA,014524,Energia Elétrica,15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,Energia Elétrica,ATIVO,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,acao
CEEB6,COELBA,014524,Energia Elétrica,15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,Energia Elétrica,ATIVO,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,acao
CEBR3,CEB,014451,Energia Elétrica,00.070.698/0001-11,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,Energia Elétrica,ATIVO,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,acao
CEBR5,CEB,014451,Energia Elétrica,00.070.698/0001-11,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,Energia Elétrica,ATIVO,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,acao
CEBR6,CEB,014451,Energia Elétrica,00.070.698/0001-11,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,Energia Elétrica,ATIVO,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,acao
CMIG3,CEMIG,002453,Energia Elétrica,17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,Energia Elétrica,ATIVO,CIA ENERG MINAS GERAIS - CEMIG,acao
